CÓDIGO DEPARTAMENTO;DEPARTAMENTO;PROVINCIA;CÓDIGO MUNICIPIO;MUNICIPIO;CODIGO DANE INSTITUCION EDUCATIVA;NOMBRE INSTITUCION EDUCATIVA;CODIGO DANE SEDE;NOMBRE SEDE EDUCATIVA;ZONA;PROYECTOS DE CONECTIVIDAD 2024;OPERADOR;ESTADO;MEDIO DE ENLACE;ANCHO DE BANDA DE SUBIDA (MB);ANCHO DE BANDA DESCARGA (MB);FINALIZACIÓN DEL CONTRATO;LATITUD;LONGITUD;;
15;BOYACÁ;ORIENTE;15,022;ALMEIDA;315,022,000,196;I,E, ENRIQUE SUAREZ;215,022,000,078;ESC EL ROSAL;RURAL;CENTRO DIGITAL;UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA;EN OPERACIÓN;NA;3;12;12/01/2032  12:00:00 a, m,;494506202;-7338084868;;
15;BOYACÁ;SUGAMUXI;15,047;AQUITANIA;115,047,000,019;I,E, TECNICA RAMON IGNACIO AVELLA;215,047,000,196;ESC CAJON;RURAL;CENTRO DIGITAL;UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA;PENDIENTE INICIO OPERACIÓN;NA;3;12;12/01/2032  12:00:00 a, m,;5369444;-72881389;;
15;BOYACÁ;SUGAMUXI;15,047;AQUITANIA;115,047,000,019;I,E, TECNICA RAMON IGNACIO AVELLA;215,047,000,439;ESC DAITO;RURAL;CENTRO DIGITAL;UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA;EN OPERACIÓN;NA;3,75;15;12/01/2032  12:00:00 a, m,;5498777603;-7291264973;;
15;BOYACÁ;SUGAMUXI;15,047;AQUITANIA;215,047,000,099;I,E, REGION SUR DE AQUITANIA;215,047,000,579;ESC DIGANOME;RURAL;CENTRO DIGITAL;UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA;PENDIENTE INICIO OPERACIÓN;NA;3;12;12/01/2032  12:00:00 a, m,;5304167;-72927778;;
15;BOYACÁ;SUGAMUXI;15,047;AQUITANIA;115,047,000,019;I,E, TECNICA RAMON IGNACIO AVELLA;215,047,000,188;ESC EL TOBAL;RURAL;CENTRO DIGITAL;UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA;PENDIENTE INICIO OPERACIÓN;NA;3;12;12/01/2032  12:00:00 a, m,;5508333;-72869167;;
15;BOYACÁ;SUGAMUXI;15,047;AQUITANIA;115,047,000,019;I,E, TECNICA RAMON IGNACIO AVELLA;215,047,000,650;ESC GARAGOA;RURAL;CENTRO DIGITAL;UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA;EN OPERACIÓN;NA;3,75;15;12/01/2032  12:00:00 a, m,;5511944;-72883889;;2
15;BOYACÁ;SUGAMUXI;15,047;AQUITANIA;115,047,000,019;I,E, TECNICA RAMON IGNACIO AVELLA;215,047,000,234;ESC HATOLAGUNA;RURAL;CENTRO DIGITAL;UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA;EN OPERACIÓN;NA;3;12;12/01/2032  12:00:00 a, m,;5586463121;-7289043746;;
15;BOYACÁ;SUGAMUXI;15,047;AQUITANIA;115,047,000,019;I,E, TECNICA RAMON IGNACIO AVELLA;215,047,000,633;ESC PLAYA Y CHITAL;RURAL;CENTRO DIGITAL;UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA;PENDIENTE INICIO OPERACIÓN;NA;3;12;12/01/2032  12:00:00 a, m,;5502775098;-7290565412;;
15;BOYACÁ;SUGAMUXI;15,047;AQUITANIA;215,047,000,099;I,E, REGION SUR DE AQUITANIA;215,047,000,587;ESC SAN JUAN DE MOMBITA;RURAL;CENTRO DIGITAL;UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA;EN OPERACIÓN;NA;3;12;12/01/2032  12:00:00 a, m,;5288333;-72927778;;
15;BOYACÁ;SUGAMUXI;15,047;AQUITANIA;215,047,000,099;I,E, REGION SUR DE AQUITANIA;215,047,000,102;ESC SISVACA;RURAL;CENTRO DIGITAL;UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA;EN OPERACIÓN;NA;3,75;15;12/01/2032  12:00:00 a, m,;5304444;-72922222;;
