CÓDIGO DEPARTAMENTO,DEPARTAMENTO,PROVINCIA,CÓDIGO MUNICIPIO,MUNICIPIO,CODIGO DANE INSTITUCION EDUCATIVA,NOMBRE INSTITUCION EDUCATIVA,CODIGO DANE SEDE,NOMBRE SEDE EDUCATIVA,ZONA,PROYECTOS DE CONECTIVIDAD 2024,OPERADOR,ESTADO,MEDIO DE ENLACE,ANCHO DE BANDA DE SUBIDA (MB),ANCHO DE BANDA DESCARGA (MB),FINALIZACIÓN DEL CONTRATO,LATITUD,LONGITUD
15,BOYACÁ,ORIENTE,"15,022",ALMEIDA,"315,022,000,196",I.E. ENRIQUE SUAREZ,"215,022,000,078",ESC EL ROSAL,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,EN OPERACIÓN,NA,3,12,12/01/2032 12:00:00 AM,4.94506202,-73.38084868
15,BOYACÁ,SUGAMUXI,"15,047",AQUITANIA,"115,047,000,019",I.E. TECNICA RAMON IGNACIO AVELLA,"215,047,000,196",ESC CAJON,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,PENDIENTE INICIO OPERACIÓN,NA,3,12,12/01/2032 12:00:00 AM,5.369444,-72.881389
15,BOYACÁ,SUGAMUXI,"15,047",AQUITANIA,"115,047,000,019",I.E. TECNICA RAMON IGNACIO AVELLA,"215,047,000,439",ESC DAITO,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,EN OPERACIÓN,NA,3.75,15,12/01/2032 12:00:00 AM,5.498777603,-72.91264973
15,BOYACÁ,SUGAMUXI,"15,047",AQUITANIA,"215,047,000,099",I.E. REGION SUR DE AQUITANIA,"215,047,000,579",ESC DIGANOME,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,PENDIENTE INICIO OPERACIÓN,NA,3,12,12/01/2032 12:00:00 AM,5.304167,-72.927778
15,BOYACÁ,SUGAMUXI,"15,047",AQUITANIA,"115,047,000,019",I.E. TECNICA RAMON IGNACIO AVELLA,"215,047,000,188",ESC EL TOBAL,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,PENDIENTE INICIO OPERACIÓN,NA,3,12,12/01/2032 12:00:00 AM,5.508333,-72.869167
15,BOYACÁ,SUGAMUXI,"15,047",AQUITANIA,"115,047,000,019",I.E. TECNICA RAMON IGNACIO AVELLA,"215,047,000,650",ESC GARAGOA,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,EN OPERACIÓN,NA,3.75,15,12/01/2032 12:00:00 AM,5.511944,-72.883889
15,BOYACÁ,SUGAMUXI,"15,047",AQUITANIA,"115,047,000,019",I.E. TECNICA RAMON IGNACIO AVELLA,"215,047,000,234",ESC HATOLAGUNA,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,EN OPERACIÓN,NA,3,12,12/01/2032 12:00:00 AM,5.586463121,-72.89043746
15,BOYACÁ,SUGAMUXI,"15,047",AQUITANIA,"115,047,000,019",I.E. TECNICA RAMON IGNACIO AVELLA,"215,047,000,633",ESC PLAYA Y CHITAL,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,PENDIENTE INICIO OPERACIÓN,NA,3,12,12/01/2032 12:00:00 AM,5.502775098,-72.90565412
15,BOYACÁ,SUGAMUXI,"15,047",AQUITANIA,"215,047,000,099",I.E. REGION SUR DE AQUITANIA,"215,047,000,587",ESC SAN JUAN DE MOMBITA,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,EN OPERACIÓN,NA,3,12,12/01/2032 12:00:00 AM,5.288333,-72.927778
15,BOYACÁ,SUGAMUXI,"15,047",AQUITANIA,"215,047,000,099",I.E. REGION SUR DE AQUITANIA,"215,047,000,102",ESC SISVACA,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,EN OPERACIÓN,NA,3.75,15,12/01/2032 12:00:00 AM,5.304444,-72.922222
