TIPO IDENTIFICACION,NUMERO IDENTIFICACION,RAZON SOCIAL,MUNICIPIO_COD,NOMBRE_MUNICIPIO,DEPARTAMENTO_COD,NOMBRE_DEPARTAMENTO,ESTADO EMPRESA,COD INTERNO AREA,NATURALEZA,FECHA CORTE,ID INDICADOR,FECHA VIGENCIA,META
ID-ZW - FASE 2,7610905002,Buenaventura,76109,BUENAVENTURA,76,VALLE DEL CAUCA,ACTIVO,,PUBLICA,2017-12-31,4900,2017-12-31,300
ID-ZW - FASE 2,7610905002,Buenaventura,76109,BUENAVENTURA,76,VALLE DEL CAUCA,ACTIVO,,PUBLICA,2016-12-31,4198,2016-12-31,250
ID-ZW - FASE 2,7667005001,San Pedro,76670,SAN PEDRO,76,VALLE DEL CAUCA,ACTIVO,,PUBLICA,2017-12-31,4900,2017-12-31,300
ID-ZW - FASE 2,7660605002,Restrepo,76606,RESTREPO,76,VALLE DEL CAUCA,ACTIVO,,PUBLICA,2017-12-31,4900,2017-12-31,300
ID-ZW - FASE 2,7600105001,Cali,76001,CALI,76,VALLE DEL CAUCA,ACTIVO,,PUBLICA,2016-12-31,4198,2016-12-31,250
ID-ZW - FASE 2,7656305002,Pradera,76563,PRADERA,76,VALLE DEL CAUCA,ACTIVO,,PUBLICA,2016-12-31,4198,2016-12-31,250
ID-ZW - FASE 2,7611105002,Guadalajara de Buga,76111,GUADALAJARA DE BUGA,76,VALLE DEL CAUCA,ACTIVO,,PUBLICA,2016-12-31,4198,2016-12-31,250
ID-ZW - FASE 2,7614705001,Cartago,76147,CARTAGO,76,VALLE DEL CAUCA,ACTIVO,,PUBLICA,2017-12-31,4900,2017-12-31,300
ID-ZW - FASE 2,7627505002,Florida,76275,FLORIDA,76,VALLE DEL CAUCA,ACTIVO,,PUBLICA,2016-12-31,4198,2016-12-31,250
ID-ZW - FASE 2,7660605001,Restrepo,76606,RESTREPO,76,VALLE DEL CAUCA,ACTIVO,,PUBLICA,2017-12-31,4900,2017-12-31,300
ID-ZW - FASE 2,7623305001,Dagua,76233,DAGUA,76,VALLE DEL CAUCA,ACTIVO,,PUBLICA,2017-12-31,4900,2017-12-31,300
ID-ZW - FASE 2,7630605001,Ginebra,76306,GINEBRA,76,VALLE DEL CAUCA,ACTIVO,,PUBLICA,2017-12-31,4900,2017-12-31,300
ID-ZW - FASE 2,7624805002,El Cerrito,76248,EL CERRITO,76,VALLE DEL CAUCA,ACTIVO,,PUBLICA,2016-12-31,4198,2016-12-31,250
ID-ZW - FASE 2,7627505002,Florida,76275,FLORIDA,76,VALLE DEL CAUCA,ACTIVO,,PUBLICA,2017-12-31,4900,2017-12-31,300
ID-ZW - FASE 2,7683405001,Tulua,76834,TULUA,76,VALLE DEL CAUCA,ACTIVO,,PUBLICA,2017-12-31,4900,2017-12-31,300
ID-ZW - FASE 2,7627505001,Florida,76275,FLORIDA,76,VALLE DEL CAUCA,ACTIVO,,PUBLICA,2016-12-31,4198,2016-12-31,250
ID-ZW - FASE 2,7624805002,El Cerrito,76248,EL CERRITO,76,VALLE DEL CAUCA,ACTIVO,,PUBLICA,2017-12-31,4900,2017-12-31,300
ID-ZW - FASE 2,7627505001,Florida,76275,FLORIDA,76,VALLE DEL CAUCA,ACTIVO,,PUBLICA,2017-12-31,4900,2017-12-31,300
ID-ZW - FASE 2,7600105003,Cali,76001,CALI,76,VALLE DEL CAUCA,ACTIVO,,PUBLICA,2017-12-31,4900,2017-12-31,300
ID-ZW - FASE 2,7624305001,El aguila,76243,EL AGUILA,76,VALLE DEL CAUCA,ACTIVO,,PUBLICA,2017-12-31,4900,2017-12-31,300
ID-ZW - FASE 2,7624805001,El Cerrito,76248,EL CERRITO,76,VALLE DEL CAUCA,ACTIVO,,PUBLICA,2016-12-31,4198,2016-12-31,250
ID-ZW - FASE 2,7610905003,Buenaventura,76109,BUENAVENTURA,76,VALLE DEL CAUCA,ACTIVO,,PUBLICA,2017-12-31,4900,2017-12-31,300
ID-ZW - FASE 2,7689205001,Yumbo,76892,YUMBO,76,VALLE DEL CAUCA,ACTIVO,,PUBLICA,2016-12-31,4198,2016-12-31,250
ID-ZW - FASE 2,7689005001,Yotoco,76890,YOTOCO,76,VALLE DEL CAUCA,ACTIVO,,PUBLICA,2017-12-31,4900,2017-12-31,300
