municipio,promedio
TOTA,12.3076923076923077
BOAVITA,12.2500000000000000
SAN EDUARDO,10.0000000000000000
DUITAMA,10.0000000000000000
VENTAQUEMADA,14.0000000000000000
GUACAMAYAS,10.0000000000000000
BELÉN,13.3333333333333333
TOGÜÍ,12.1666666666666667
PISBA,10.0000000000000000
TUNJA,12.8750000000000000
TOCA,12.2500000000000000
PUERTO BOYACÁ,14.4666666666666667
ALMEIDA,11.0000000000000000
SOTAQUIRÁ,10.0000000000000000
PÁEZ,10.0000000000000000
CALDAS,11.6000000000000000
SOATÁ,11.0000000000000000
MONIQUIRÁ,14.1666666666666667
GACHANTIVÁ,12.2000000000000000
BUSBANZÁ,12.0000000000000000
CUÍTIVA,10.0000000000000000
JENESANO,10.0000000000000000
GARAGOA,11.3333333333333333
LA VICTORIA,11.0000000000000000
BRICEÑO,11.0000000000000000
PAYA,10.0000000000000000
PANQUEBA,10.0000000000000000
RÁQUIRA,12.7000000000000000
SOGAMOSO,13.1666666666666667
CHÍQUIZA,11.6666666666666667
TUTAZÁ,14.0000000000000000
TASCO,12.2500000000000000
TIBANÁ,13.1666666666666667
SATIVASUR,11.0000000000000000
SABOYÁ,13.1111111111111111
SATIVANORTE,11.7142857142857143
SAN MATEO,11.0000000000000000
ARCABUCO,11.0000000000000000
OICATÁ,11.3333333333333333
CHIVATÁ,11.0000000000000000
MONGUÍ,12.5000000000000000
SOCHA,13.0000000000000000
SAN PABLO DE BORBUR,10.0000000000000000
NUEVO COLÓN,13.2000000000000000
FIRAVITOBA,10.0000000000000000
SANTA ROSA DE VITERBO,13.5000000000000000
CERINZA,11.0000000000000000
AQUITANIA,13.7777777777777778
EL COCUY,10.0000000000000000
SÁCHICA,11.0000000000000000
MOTAVITA,11.5000000000000000
OTANCHE,10.0000000000000000
TUNUNGUÁ,11.3333333333333333
SUTAMARCHÁN,10.0000000000000000
CUBARÁ,10.0000000000000000
PAUNA,12.2000000000000000
SAN MIGUEL DE SEMA,12.2500000000000000
RAMIRIQUÍ,13.0000000000000000
MARIPÍ,12.7500000000000000
MIRAFLORES,14.0000000000000000
CORRALES,10.0000000000000000
BETÉITIVA,12.5000000000000000
SOCOTÁ,10.0000000000000000
CUCAITA,10.0000000000000000
SANTA SOFÍA,11.3333333333333333
GUAYATÁ,11.3333333333333333
COPER,10.0000000000000000
SAMACÁ,12.9090909090909091
RONDÓN,13.3333333333333333
LA UVITA,12.5000000000000000
CHISCAS,10.0000000000000000
SANTANA,11.3333333333333333
JERICÓ,12.3000000000000000
SUSACÓN,11.0000000000000000
TÓPAGA,11.3333333333333333
SIACHOQUE,11.3333333333333333
TURMEQUÉ,11.3333333333333333
BOYACÁ,11.3333333333333333
CAMPOHERMOSO,10.0000000000000000
CÓMBITA,13.6666666666666667
PAZ DE RÍO,11.0000000000000000
PESCA,10.0000000000000000
CHITA,12.4000000000000000
VILLA DE LEYVA,10.0000000000000000
CHINAVITA,12.2000000000000000
PACHAVITA,11.0000000000000000
COVARACHÍA,11.3333333333333333
FLORESTA,12.0000000000000000
UMBITA,11.8461538461538462
NOBSA,13.0000000000000000
TIBASOSA,14.1428571428571429
GAMEZA,10.0000000000000000
TENZA,10.0000000000000000
MUZO,12.2000000000000000
CHITARAQUE,11.3333333333333333
PAJARITO,13.3333333333333333
SANTA MARÍA,10.0000000000000000
BERBEO,11.0000000000000000
TINJACÁ,11.0000000000000000
CHIQUINQUIRÁ,12.2500000000000000
SUTATENZA,10.0000000000000000
PAIPA,13.6000000000000000
LA CAPILLA,11.0000000000000000
SAN LUIS DE GACENO,10.0000000000000000
IZA,10.0000000000000000
VIRACACHÁ,11.6000000000000000
TIPACOQUE,11.3333333333333333
MONGUA,12.0000000000000000
QUÍPAMA,10.0000000000000000
MACANAL,11.5000000000000000
CHIVOR,10.0000000000000000
CIÉNEGA,13.3333333333333333
BUENAVISTA,12.3333333333333333
SOMONDOCO,13.3333333333333333
SAN JOSÉ DE PARE,11.5000000000000000
SORA,10.0000000000000000
TUTA,16.0000000000000000
