operador,estado,count
,,1757
UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,EN OPERACIÓN,291
UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,PENDIENTE INICIO DE OPERACIÓN,3
COLOMBIA MAS TV,EN OPERACIÓN,108
ALIANZA PUBLICA PARA EL DESARROLLO INTEGRAL -ALDESARROLLO,PENDIENTE INICIO OPERACIÓN,260
SIN OPERADOR,SIN SERVICIO,747
ALIANZA PUBLICA PARA EL DESARROLLO INTEGRAL -ALDESARROLLO,EN OPERACIÓN,1
UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,PENDIENTE INICIO OPERACIÓN,347
SIN OPERADOR,,747
COLOMBIA MAS TV,,108
UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,,641
ALIANZA PUBLICA PARA EL DESARROLLO INTEGRAL -ALDESARROLLO,,261
