NOMBRE INSTITUCION EDUCATIVA,CODIGO DANE INSTITUCION EDUCATIVA
I.E. ENRIQUE SUAREZ,"315,022,000,196"
I.E. TECNICA RAMON IGNACIO AVELLA,"115,047,000,019"
I.E. REGION SUR DE AQUITANIA,"215,047,000,099"
I.E. SUSE,"215,047,000,153"
I.E. TOQUILLA,"215,047,000,170"
I.E. TECNICO ALEJANDRO DE HUMBOLDT,"115,051,000,155"
I.E. TECNICA SUSANA GUILLEMIN,"115,087,000,011"
I.E. TECNICA CARLOS ALBERTO OLANO VALDERRAMA,"115,087,000,208"
I.E. CAMPO ELIAS CORTES,"315,090,000,064"
I.E. TECNICA NUESTRA SEÑORA DE LA O,"215,092,000,041"
I.E. TECNICO INDUSTRIAL MARISCAL SUCRE,"115,097,000,265"
I.E. TECNICO AGRICOLA,"115,097,000,028"
I.E. TECNICA Y ACADEMICA NUESTRA SEÑORA DEL ROSARIO,"115,097,000,036"
I.E. TECNICA AGROPECUARIA SAN ISIDRO,"215,104,000,092"
I.E. DE BOYACA,"115,104,000,128"
I.E. TECNICA MANUEL BRICEÑO,"315,106,000,124"
I.E. TECNICA AGROPECUARIA LA GRANJA,"215,109,000,163"
I.E. JOSE MARIA SILVA SALAZAR,"115,109,000,363"
I.E. TECNICA AGRICOLA ANTONIO NARIÑO,"415,131,000,141"
I.E. FRANCISCO JOSE DE CALDAS,"115,131,000,172"
I.E. TECNICA MARIA AUXILIADORA,"215,135,000,236"
I.E. NACIONALIZADA TECNICA AGROPECUARIA CAMPOHERMOSO,"315,135,000,338"
I.E. DE CERINZA,"115,162,000,120"
I.E. TECNICA NUESTRA SEÑORA DE NAZARETH,"315,172,000,020"
I.E. JUAN DE JESUS ACEVEDO,"215,172,000,050"
I.E. NORMAL SUPERIOR SOR JOSEFA DEL CASTILLO Y GUEVARA,"215,176,000,101"
I.E. TECNICA PIO ALBERTO FERRO PEÑA,"115,176,000,033"
I.E. TECNICA LOS COMUNEROS,"215,176,001,131"
I.E. TECNICA SAN PEDRO DE IGUAQUE,"215,232,000,135"
I.E. TECNICA EL CERRO,"215,232,000,020"
I.E. JAIME RUIZ CARRILLO,"215,180,000,174"
I.E. LAS MERCEDES,"215,180,000,034"
I.E. LAS CAÑAS,"215,180,000,051"
I.E. JOSE MARIA POTIER,"115,183,000,391"
I.E. JESUS EMILIO JARAMILLO MONSALVE,"215,183,000,337"
I.E. NORMAL SUPERIOR SAGRADO CORAZON,"115,183,000,022"
I.E. EL MORAL,"215,183,000,060"
I.E. SAN PEDRO CLAVER,"315,185,000,169"
I.E. AGROPECUARIO,"315,187,000,069"
I.E. TECNICO AGROPECUARIO LA ESMERALDA,"115,022,000,260"
I.E. TECNICA JOSE CAYETANO VASQUEZ,"115,189,000,148"
I.E. SAN FRANCISCO,"215,204,000,294"
I.E. INTEGRADO,"115,204,000,176"
I.E. SANTA BARBARA,"215,204,000,278"
