nombre,codigo,departamento
LETICIA,91001,AMAZONAS
EL ENCANTO,91263,AMAZONAS
LA CHORRERA,91405,AMAZONAS
LA PEDRERA,91407,AMAZONAS
LA VICTORIA,91430,AMAZONAS
MIRITI - PARANA,91460,AMAZONAS
PUERTO ALEGRIA,91530,AMAZONAS
PUERTO ARICA,91536,AMAZONAS
PUERTO NARIÑO,91540,AMAZONAS
PUERTO SANTANDER,91669,AMAZONAS
TARAPACA,91798,AMAZONAS
MEDELLIN,5001,ANTIOQUIA
ABEJORRAL,5002,ANTIOQUIA
ABRIAQUI,5004,ANTIOQUIA
ALEJANDRIA,5021,ANTIOQUIA
AMAGA,5030,ANTIOQUIA
AMALFI,5031,ANTIOQUIA
ANDES,5034,ANTIOQUIA
ANGELOPOLIS,5036,ANTIOQUIA
ANGOSTURA,5038,ANTIOQUIA
ANORI,5040,ANTIOQUIA
SANTAFE DE ANTIOQUIA,5042,ANTIOQUIA
ANZA,5044,ANTIOQUIA
APARTADO,5045,ANTIOQUIA
ARBOLETES,5051,ANTIOQUIA
ARGELIA,5055,ANTIOQUIA
ARMENIA,5059,ANTIOQUIA
BARBOSA,5079,ANTIOQUIA
BELMIRA,5086,ANTIOQUIA
BELLO,5088,ANTIOQUIA
BETANIA,5091,ANTIOQUIA
BETULIA,5093,ANTIOQUIA
CIUDAD BOLIVAR,5101,ANTIOQUIA
BRICEÑO,5107,ANTIOQUIA
BURITICA,5113,ANTIOQUIA
CACERES,5120,ANTIOQUIA
CAICEDO,5125,ANTIOQUIA
CALDAS,5129,ANTIOQUIA
CAMPAMENTO,5134,ANTIOQUIA
CAÑASGORDAS,5138,ANTIOQUIA
CARACOLI,5142,ANTIOQUIA
CARAMANTA,5145,ANTIOQUIA
CAREPA,5147,ANTIOQUIA
CARMEN DE VIBORAL,5148,ANTIOQUIA
CAROLINA,5150,ANTIOQUIA
CAUCASIA,5154,ANTIOQUIA
CHIGORODO,5172,ANTIOQUIA
CISNEROS,5190,ANTIOQUIA
COCORNA,5197,ANTIOQUIA
CONCEPCION,5206,ANTIOQUIA
CONCORDIA,5209,ANTIOQUIA
COPACABANA,5212,ANTIOQUIA
DABEIBA,5234,ANTIOQUIA
DON MATIAS,5237,ANTIOQUIA
EBEJICO,5240,ANTIOQUIA
EL BAGRE,5250,ANTIOQUIA
ENTRERRIOS,5264,ANTIOQUIA
ENVIGADO,5266,ANTIOQUIA
FREDONIA,5282,ANTIOQUIA
FRONTINO,5284,ANTIOQUIA
GIRALDO,5306,ANTIOQUIA
GIRARDOTA,5308,ANTIOQUIA
GOMEZ PLATA,5310,ANTIOQUIA
GRANADA,5313,ANTIOQUIA
GUADALUPE,5315,ANTIOQUIA
GUARNE,5318,ANTIOQUIA
GUATAPE,5321,ANTIOQUIA
HELICONIA,5347,ANTIOQUIA
HISPANIA,5353,ANTIOQUIA
ITAGUI,5360,ANTIOQUIA
ITUANGO,5361,ANTIOQUIA
JARDIN,5364,ANTIOQUIA
JERICO,5368,ANTIOQUIA
LA CEJA,5376,ANTIOQUIA
LA ESTRELLA,5380,ANTIOQUIA
LA PINTADA,5390,ANTIOQUIA
LA UNION,5400,ANTIOQUIA
LIBORINA,5411,ANTIOQUIA
MACEO,5425,ANTIOQUIA
MARINILLA,5440,ANTIOQUIA
MONTEBELLO,5467,ANTIOQUIA
MURINDO,5475,ANTIOQUIA
MUTATA,5480,ANTIOQUIA
NARIÑO,5483,ANTIOQUIA
NECOCLI,5490,ANTIOQUIA
NECHI,5495,ANTIOQUIA
OLAYA,5501,ANTIOQUIA
PEÑOL,5541,ANTIOQUIA
PEQUE,5543,ANTIOQUIA
PUEBLORRICO,5576,ANTIOQUIA
PUERTO BERRIO,5579,ANTIOQUIA
PUERTO NARE,5585,ANTIOQUIA
PUERTO TRIUNFO,5591,ANTIOQUIA
REMEDIOS,5604,ANTIOQUIA
RETIRO,5607,ANTIOQUIA
RIONEGRO,5615,ANTIOQUIA
SABANALARGA,5628,ANTIOQUIA
SABANETA,5631,ANTIOQUIA
SALGAR,5642,ANTIOQUIA
SAN ANDRES,5647,ANTIOQUIA
SAN CARLOS,5649,ANTIOQUIA
SAN FRANCISCO,5652,ANTIOQUIA
SAN JERONIMO,5656,ANTIOQUIA
SAN JOSE DE LA MONTAÑA,5658,ANTIOQUIA
SAN JUAN DE URABA,5659,ANTIOQUIA
SAN LUIS,5660,ANTIOQUIA
SAN PEDRO,5664,ANTIOQUIA
SAN PEDRO DE URABA,5665,ANTIOQUIA
SAN RAFAEL,5667,ANTIOQUIA
SAN ROQUE,5670,ANTIOQUIA
SAN VICENTE,5674,ANTIOQUIA
SANTA BARBARA,5679,ANTIOQUIA
SANTA ROSA DE OSOS,5686,ANTIOQUIA
SANTO DOMINGO,5690,ANTIOQUIA
SANTUARIO,5697,ANTIOQUIA
SEGOVIA,5736,ANTIOQUIA
SONSON,5756,ANTIOQUIA
SOPETRAN,5761,ANTIOQUIA
TAMESIS,5789,ANTIOQUIA
TARAZA,5790,ANTIOQUIA
TARSO,5792,ANTIOQUIA
TITIRIBI,5809,ANTIOQUIA
TOLEDO,5819,ANTIOQUIA
TURBO,5837,ANTIOQUIA
URAMITA,5842,ANTIOQUIA
URRAO,5847,ANTIOQUIA
VALDIVIA,5854,ANTIOQUIA
VALPARAISO,5856,ANTIOQUIA
VEGACHI,5858,ANTIOQUIA
VENECIA,5861,ANTIOQUIA
VIGIA DEL FUERTE,5873,ANTIOQUIA
YALI,5885,ANTIOQUIA
YARUMAL,5887,ANTIOQUIA
YOLOMBO,5890,ANTIOQUIA
YONDO,5893,ANTIOQUIA
ZARAGOZA,5895,ANTIOQUIA
ARAUCA,81001,ARAUCA
ARAUQUITA,81065,ARAUCA
CRAVO NORTE,81220,ARAUCA
FORTUL,81300,ARAUCA
PUERTO RONDON,81591,ARAUCA
SARAVENA,81736,ARAUCA
TAME,81794,ARAUCA
BARRANQUILLA,8001,ATLÁNTICO
BARANOA,8078,ATLÁNTICO
CAMPO DE LA CRUZ,8137,ATLÁNTICO
CANDELARIA,8141,ATLÁNTICO
GALAPA,8296,ATLÁNTICO
JUAN DE ACOSTA,8372,ATLÁNTICO
LURUACO,8421,ATLÁNTICO
MALAMBO,8433,ATLÁNTICO
MANATI,8436,ATLÁNTICO
PALMAR DE VARELA,8520,ATLÁNTICO
PIOJO,8549,ATLÁNTICO
POLONUEVO,8558,ATLÁNTICO
PONEDERA,8560,ATLÁNTICO
PUERTO COLOMBIA,8573,ATLÁNTICO
REPELON,8606,ATLÁNTICO
SABANAGRANDE,8634,ATLÁNTICO
SANTA LUCIA,8675,ATLÁNTICO
SANTO TOMAS,8685,ATLÁNTICO
SOLEDAD,8758,ATLÁNTICO
SUAN,8770,ATLÁNTICO
TUBARA,8832,ATLÁNTICO
USIACURI,8849,ATLÁNTICO
CARTAGENA,13001,BOLÍVAR
ACHI,13006,BOLÍVAR
ALTOS DEL ROSARIO,13030,BOLÍVAR
ARENAL,13042,BOLÍVAR
ARJONA,13052,BOLÍVAR
ARROYOHONDO,13062,BOLÍVAR
BARRANCO DE LOBA,13074,BOLÍVAR
CALAMAR,13140,BOLÍVAR
CANTAGALLO,13160,BOLÍVAR
CICUCO,13188,BOLÍVAR
CORDOBA,13212,BOLÍVAR
CLEMENCIA,13222,BOLÍVAR
EL CARMEN DE BOLIVAR,13244,BOLÍVAR
EL GUAMO,13248,BOLÍVAR
EL PEÑON,13268,BOLÍVAR
HATILLO DE LOBA,13300,BOLÍVAR
MAGANGUE,13430,BOLÍVAR
MAHATES,13433,BOLÍVAR
MARGARITA,13440,BOLÍVAR
MARIA LA BAJA,13442,BOLÍVAR
MONTECRISTO,13458,BOLÍVAR
MOMPOS,13468,BOLÍVAR
MORALES,13473,BOLÍVAR
NOROSI,13490,BOLÍVAR
PINILLOS,13549,BOLÍVAR
REGIDOR,13580,BOLÍVAR
RIO VIEJO,13600,BOLÍVAR
SAN CRISTOBAL,13620,BOLÍVAR
SAN ESTANISLAO,13647,BOLÍVAR
SAN FERNANDO,13650,BOLÍVAR
SAN JACINTO,13654,BOLÍVAR
SAN JACINTO DEL CAUCA,13655,BOLÍVAR
SAN JUAN NEPOMUCENO,13657,BOLÍVAR
SAN MARTIN DE LOBA,13667,BOLÍVAR
SAN PABLO,13670,BOLÍVAR
SANTA CATALINA,13673,BOLÍVAR
SANTA ROSA,13683,BOLÍVAR
SANTA ROSA DEL SUR,13688,BOLÍVAR
SIMITI,13744,BOLÍVAR
