NOMBRE SEDE EDUCATIVA,CODIGO DANE SEDE,ZONA,NOMBRE INSTITUCION EDUCATIVA,CODIGO INTERNET
ESC EL ROSAL,"215,022,000,078",RURAL,I.E. ENRIQUE SUAREZ,715
ESC CAJON,"215,047,000,196",RURAL,I.E. TECNICA RAMON IGNACIO AVELLA,1408
ESC DAITO,"215,047,000,439",RURAL,I.E. TECNICA RAMON IGNACIO AVELLA,1485
ESC DIGANOME,"215,047,000,579",RURAL,I.E. REGION SUR DE AQUITANIA,1388
ESC EL TOBAL,"215,047,000,188",RURAL,I.E. TECNICA RAMON IGNACIO AVELLA,685
ESC GARAGOA,"215,047,000,650",RURAL,I.E. TECNICA RAMON IGNACIO AVELLA,1293
ESC HATOLAGUNA,"215,047,000,234",RURAL,I.E. TECNICA RAMON IGNACIO AVELLA,1567
ESC PLAYA Y CHITAL,"215,047,000,633",RURAL,I.E. TECNICA RAMON IGNACIO AVELLA,1906
ESC SAN JUAN DE MOMBITA,"215,047,000,587",RURAL,I.E. REGION SUR DE AQUITANIA,748
ESC SISVACA,"215,047,000,102",RURAL,I.E. REGION SUR DE AQUITANIA,941
ESC SUSACA,"215,047,000,226",RURAL,I.E. TECNICA RAMON IGNACIO AVELLA,1010
I.E. REGION SUR DE AQUITANIA - SEDE PRINCIPAL,"215,047,000,099",RURAL,I.E. REGION SUR DE AQUITANIA,469
I.E. SUSE - SEDE PRINCIPAL,"215,047,000,153",RURAL,I.E. SUSE,285
I.E. TOQUILLA - SEDE PRINCIPAL,"215,047,000,170",RURAL,I.E. TOQUILLA,1782
SEDE DEL UPIA,"215,047,000,218",RURAL,I.E. SUSE,1311
SEDE LA LAJA,"215,047,000,668",RURAL,I.E. SUSE,732
SEDE LOS COLORADOS,"215,047,000,463",RURAL,I.E. TOQUILLA,970
SEDE SAN JOSE,"215,047,000,412",RURAL,I.E. SUSE,1939
ESC PEÑAS BLANCAS,"215,051,000,079",RURAL,I.E. TECNICO ALEJANDRO DE HUMBOLDT,872
ESC QUIRVAQUIRA I,"215,051,000,052",RURAL,I.E. TECNICO ALEJANDRO DE HUMBOLDT,1140
ESC QUIRVAQUIRA II,"215,051,000,176",RURAL,I.E. TECNICO ALEJANDRO DE HUMBOLDT,1838
ESC ALTO DE CANUTOS,"215,087,000,253",RURAL,I.E. TECNICA SUSANA GUILLEMIN,1298
ESC CARACOLES,"215,087,000,130",RURAL,I.E. TECNICA SUSANA GUILLEMIN,460
ESC SAN JOSE DE LA MONTAÑA,"215,087,000,164",RURAL,I.E. TECNICA CARLOS ALBERTO OLANO VALDERRAMA,1313
ESC BATATAL BAJO,"215,090,000,027",RURAL,I.E. CAMPO ELIAS CORTES,844
ESC RURAL SOIQUÍA,"215,092,000,083",RURAL,I.E. TECNICA NUESTRA SEÑORA DE LA O,1585
I.E. TECNICA NUESTRA SEÑORA DE LA O - SEDE PRINCIPAL,"215,092,000,041",RURAL,I.E. TECNICA NUESTRA SEÑORA DE LA O,1535
ESC RIO DE ARRIBA,"215,097,000,227",RURAL,I.E. TECNICO INDUSTRIAL MARISCAL SUCRE,740
ESC RURAL CHULAVITA,"215,097,000,219",RURAL,I.E. TECNICO AGRICOLA,781
ESC RURAL EL MELONAL,"215,097,000,235",RURAL,I.E. TECNICA Y ACADEMICA NUESTRA SEÑORA DEL ROSARIO,1517
ESC SAN FRANCISCO,"215,097,000,286",RURAL,I.E. TECNICO AGRICOLA,1872
ESC HUERTAS N· 2,"215,104,000,084",RURAL,I.E. TECNICA AGROPECUARIA SAN ISIDRO,349
ESC PACHAQUIRA,"215,104,000,076",RURAL,I.E. DE BOYACA,1232
ESC RIQUE,"215,104,000,068",RURAL,I.E. DE BOYACA,1844
ESC RUPAGUATA,"215,104,000,106",RURAL,I.E. DE BOYACA,336
COL BAS MEDIA LUNA,"215,106,000,146",RURAL,I.E. TECNICA MANUEL BRICEÑO,1688
ESC PALO BLANCO,"215,106,000,081",RURAL,I.E. TECNICA MANUEL BRICEÑO,1020
ESC RURAL TARPEYA,"215,106,000,162",RURAL,I.E. TECNICA MANUEL BRICEÑO,1173
I.E. TECNICA AGROPECUARIA LA GRANJA - SEDE PRINCIPAL,"215,109,000,163",RURAL,I.E. TECNICA AGROPECUARIA LA GRANJA,994
ESC HONDA,"215,109,000,317",RURAL,I.E. JOSE MARIA SILVA SALAZAR,60
ESC NARANJITOS,"215,109,000,341",RURAL,I.E. JOSE MARIA SILVA SALAZAR,959
ESC PATIÑO,"215,109,000,066",RURAL,I.E. JOSE MARIA SILVA SALAZAR,177
ESC ANTONIO NARIÑO,"215,131,000,037",RURAL,I.E. TECNICA AGRICOLA ANTONIO NARIÑO,606
ESC CHINGAGUTA,"215,131,000,053",RURAL,I.E. FRANCISCO JOSE DE CALDAS,879
ESC EL PALMAR,"215,131,000,100",RURAL,I.E. TECNICA AGRICOLA ANTONIO NARIÑO,1395
ESC QUIPE CERRO ALTO,"215,131,000,096",RURAL,I.E. TECNICA AGRICOLA ANTONIO NARIÑO,1719
ESC TIERRA NEGRA,"215,131,000,088",RURAL,I.E. FRANCISCO JOSE DE CALDAS,1220
ESC CENTRO,"415,135,000,324",RURAL,I.E. TECNICA MARIA AUXILIADORA,547
ESC RUR COLOMBIA,"215,135,000,244",RURAL,I.E. NACIONALIZADA TECNICA AGROPECUARIA CAMPOHERMOSO,1469
ESC RUR HOYA GRANDE SAN JOSE,"215,135,000,317",RURAL,I.E. TECNICA MARIA AUXILIADORA,948
ESC RUR HUERTA VIEJA ARRIBA,"215,135,000,091",RURAL,I.E. NACIONALIZADA TECNICA AGROPECUARIA CAMPOHERMOSO,30
ESC RUR YOTEGUENGUE,"215,135,000,074",RURAL,I.E. NACIONALIZADA TECNICA AGROPECUARIA CAMPOHERMOSO,822
I.E. TECNICA MARIA AUXILIADORA - SEDE PRINCIPAL,"215,135,000,236",RURAL,I.E. TECNICA MARIA AUXILIADORA,1261
ESC RUR COBAGOTE,"215,162,000,035",RURAL,I.E. DE CERINZA,1753
ESC RUR NOVARE,"215,162,000,086",RURAL,I.E. DE CERINZA,1317
ESC ZANJA ABAJO,"215,172,000,076",RURAL,I.E. TECNICA NUESTRA SEÑORA DE NAZARETH,97
ESC ZANJA ARRIBA,"215,172,000,084",RURAL,I.E. TECNICA NUESTRA SEÑORA DE NAZARETH,1011
I.E. JUAN DE JESUS ACEVEDO - SEDE PRINCIPAL,"215,172,000,050",RURAL,I.E. JUAN DE JESUS ACEVEDO,568
NSTRA SRA DEL CARMEN,"215,172,000,131",RURAL,I.E. JUAN DE JESUS ACEVEDO,441
COL.DE ED. BAS. SAN FRANCISCO DE ASIS,"215,176,000,275",RURAL,I.E. NORMAL SUPERIOR SOR JOSEFA DEL CASTILLO Y GUEVARA,1351
COLEGIO DE EDUCACION BASICA VARELA DE CHIQUINQUIRA,"215,176,000,224",RURAL,I.E. NORMAL SUPERIOR SOR JOSEFA DEL CASTILLO Y GUEVARA,202
ESC CASABLANCA,"215,176,000,364",RURAL,I.E. TECNICA PIO ALBERTO FERRO PEÑA,1034
I.E. TECNICA LOS COMUNEROS - SEDE PRINCIPAL,"215,176,001,131",RURAL,I.E. TECNICA LOS COMUNEROS,1504
SEDE MOYAVITA LA CAPILLA,"215,176,000,267",RURAL,I.E. TECNICA LOS COMUNEROS,720
SEDE SASA ALTO,"215,176,000,941",RURAL,I.E. TECNICA LOS COMUNEROS,329
COL DE EDUC BAS VALDEMAR FRANKLIN QUINTERO,"115,232,000,033",RURAL,I.E. TECNICA SAN PEDRO DE IGUAQUE,1442
ESC EL MONTE,"215,232,000,119",RURAL,I.E. TECNICA SAN PEDRO DE IGUAQUE,916
ESC LLANO GRANDE,"215,232,000,062",RURAL,I.E. TECNICA EL CERRO,1091
ESC PATIECITOS,"215,232,000,127",RURAL,I.E. TECNICA SAN PEDRO DE IGUAQUE,1303
ESC RONDON,"215,232,000,186",RURAL,I.E. TECNICA SAN PEDRO DE IGUAQUE,564
ESC RURAL RILKA,"215,232,000,054",RURAL,I.E. TECNICA EL CERRO,1530
ESC VERGARA,"215,232,000,101",RURAL,I.E. TECNICA EL CERRO,885
ESC VILLA ROSITA,"215,232,000,143",RURAL,I.E. TECNICA SAN PEDRO DE IGUAQUE,852
ESC EL LIMON,"215,180,000,212",RURAL,I.E. JAIME RUIZ CARRILLO,1075
ESC LA MESETA,"215,180,000,077",RURAL,I.E. LAS MERCEDES,543
ESC LA PERLA,"215,180,000,361",RURAL,I.E. LAS CAÑAS,1689
ESC RINCONCITOS,"215,180,000,085",RURAL,I.E. LAS CAÑAS,378
I.E. JAIME RUIZ CARRILLO - SEDE PRINCIPAL,"215,180,000,174",RURAL,I.E. JAIME RUIZ CARRILLO,858
I.E. LAS CAÑAS - SEDE PRINCIPAL,"215,180,000,051",RURAL,I.E. LAS CAÑAS,1948
I.E. LAS MERCEDES - SEDE PRINCIPAL,"215,180,000,034",RURAL,I.E. LAS MERCEDES,465
SEDE CHIPA BETEL,"215,183,000,230",RURAL,I.E. JOSE MARIA POTIER,743
SEDE DIMIZA,"215,183,000,281",RURAL,I.E. JOSE MARIA POTIER,660
SEDE EL HELECHAL,"215,183,000,647",RURAL,I.E. JOSE MARIA POTIER,827
SEDE EL MORTIÑAL,"215,183,000,132",RURAL,I.E. JOSE MARIA POTIER,891
SEDE EL RESGUARDO,"215,183,000,167",RURAL,I.E. JESUS EMILIO JARAMILLO MONSALVE,711
SEDE LA FLORESTA,"215,183,000,485",RURAL,I.E. JOSE MARIA POTIER,248
SEDE LA FLORESTA UNO,"215,183,000,566",RURAL,I.E. JOSE MARIA POTIER,102
SEDE PARROQUITA,"215,183,000,434",RURAL,I.E. JOSE MARIA POTIER,327
SEDE QUICHOVA,"215,183,000,302",RURAL,I.E. JOSE MARIA POTIER,861
SEDE VICHACUCA,"215,183,000,272",RURAL,I.E. JOSE MARIA POTIER,290
ESC BUENAVISTA,"215,183,000,493",RURAL,I.E. NORMAL SUPERIOR SAGRADO CORAZON,1545
ESC CANOAS,"215,183,000,388",RURAL,I.E. NORMAL SUPERIOR SAGRADO CORAZON,1169
ESC LA CALDERA,"215,183,000,175",RURAL,I.E. NORMAL SUPERIOR SAGRADO CORAZON,1723
ESC LA FERREIRA,"215,183,000,213",RURAL,I.E. NORMAL SUPERIOR SAGRADO CORAZON,1387
ESC LA PLAYA,"215,183,000,329",RURAL,I.E. NORMAL SUPERIOR SAGRADO CORAZON,1540
ESC PALONEGRO,"215,183,000,612",RURAL,I.E. NORMAL SUPERIOR SAGRADO CORAZON,1376
I.E. EL MORAL - SEDE PRINCIPAL,"215,183,000,060",RURAL,I.E. EL MORAL,344
SEDE  LA CHORRERA,"215,183,000,582",RURAL,I.E. EL MORAL,249
SEDE EL PUERTO,"215,183,000,558",RURAL,I.E. EL MORAL,1368
ESC CAPITA Y VILLABONA,"215,185,000,041",RURAL,I.E. SAN PEDRO CLAVER,1874
ESC GUAMOS Y LADERAS,"215,185,000,067",RURAL,I.E. SAN PEDRO CLAVER,874
ESC MOTAVITA,"215,185,000,075",RURAL,I.E. SAN PEDRO CLAVER,112
ESC PALMICHAL,"215,185,000,083",RURAL,I.E. SAN PEDRO CLAVER,234
ESC SANTO DOMINGO,"215,185,000,113",RURAL,I.E. SAN PEDRO CLAVER,363
ESC TUME CHICO,"215,185,000,121",RURAL,I.E. SAN PEDRO CLAVER,1705
ESC EL MORAL,"215,187,000,056",RURAL,I.E. AGROPECUARIO,1970
ESC PONTEZUELAS,"215,187,000,013",RURAL,I.E. AGROPECUARIO,47
ESC RICAYA NORTE,"215,187,000,081",RURAL,I.E. AGROPECUARIO,1159
ESC RICAYA SUR,"215,187,000,048",RURAL,I.E. AGROPECUARIO,1836
ESC EL PINO,"215,022,000,281",RURAL,I.E. TECNICO AGROPECUARIO LA ESMERALDA,388
ESC EL SINAI,"215,022,000,043",RURAL,I.E. TECNICO AGROPECUARIO LA ESMERALDA,751
ESC SAN MARTIN,"215,022,000,272",RURAL,I.E. TECNICO AGROPECUARIO LA ESMERALDA,798
COL EDUC BAS CEBADAL,"215,189,000,126",RURAL,I.E. TECNICA JOSE CAYETANO VASQUEZ,1103
ESC TAPIAS,"215,189,000,088",RURAL,I.E. TECNICA JOSE CAYETANO VASQUEZ,438
SEDE SAN VICENTE,"215,189,000,096",RURAL,I.E. TECNICA JOSE CAYETANO VASQUEZ,424
ESC EL CARMEN,"215,204,000,081",RURAL,I.E. SAN FRANCISCO,1416
ESC EL ROBLE,"215,204,000,146",RURAL,I.E. INTEGRADO,949
ESC LA CONCEPCION,"215,204,000,201",RURAL,I.E. INTEGRADO,1044
ESC LA ESPERANZA,"215,204,000,243",RURAL,I.E. INTEGRADO,698
ESC LAS MERCEDES,"215,204,000,073",RURAL,I.E. SAN FRANCISCO,1670
ESC PIEDRA BLANCA,"215,204,000,111",RURAL,I.E. SANTA BARBARA,1320
ESC SAN ISIDRO,"215,204,000,031",RURAL,I.E. SAN FRANCISCO,431
ESC SAN RAFAEL,"215,204,000,049",RURAL,I.E. INTEGRADO,837
ESC SANTA BARBARA,"215,204,000,332",RURAL,I.E. SANTA BARBARA,1015
INSTITUCION EDUCATIVA JUAN XXIII,"215,204,000,405",RURAL,INSTITUCION EDUCATIVA JUAN XXIII,654
ESC SANTA ROSA,"215,212,000,155",RURAL,I.E. JUANA CAPORAL,1915
ESC EL BUJIO,"215,215,000,032",RURAL,I.E. TECNICA JUAN JOSE SAMANIEGO,1285
ESC CHIVASCOQUE,"215,218,000,114",RURAL,I.E. SAN LUIS BELTRAN,966
ESC LA CAPILLA,"215,218,000,106",RURAL,I.E. SAN LUIS BELTRAN,1914
ESC LIMON DULCE,"215,218,000,092",RURAL,I.E. SAN LUIS BELTRAN,1569
ESC PEÑALISA,"215,218,000,076",RURAL,I.E. SAN LUIS BELTRAN,1680
ESC SAN LUIS,"215,218,000,041",RURAL,I.E. SAN LUIS BELTRAN,782
ESC BRISAS DEL ARAUCA,"215,223,000,360",RURAL,I.E. TECNICA NACIONALIZADA PABLO VI,1711
ESC CAMPO ALICIA,"215,223,000,238",RURAL,INSTITUCION EDUCATIVA KERÁ SHIKARÁ,57
ESC EL BOJABA,"215,223,000,131",RURAL,I.E. TECNICA NACIONALIZADA PABLO VI,1949
ESC EL GUAMO,"215,223,000,041",RURAL,I.E. TECNICA NACIONALIZADA PABLO VI,1181
ESC EL ROYOTA,"215,223,000,084",RURAL,I.E. TECNICA NACIONALIZADA PABLO VI,1516
ESC INDIGENA FATIMA,"215,223,000,050",RURAL,INSTITUCION EDUCATIVA KERÁ SHIKARÁ,35
ESC INDIGENA GUALANDAY,"215,223,000,599",RURAL,INSTITUCION EDUCATIVA KERÁ SHIKARÁ,1367
ESC INDIGENA LA BARROSA,"215,223,000,106",RURAL,INSTITUCION EDUCATIVA KERÁ SHIKARÁ,1863
INSTITUCION EDUCATIVA KERÁ SHIKARÁ - SEDE PRINCIPAL,"215,223,000,076",RURAL,INSTITUCION EDUCATIVA KERÁ SHIKARÁ,288
CENT EDUC ESCALONES,"215,224,000,045",RURAL,I.E. SAN FELIPE,820
ESC LLUVIOSOS,"215,224,000,096",RURAL,I.E. SAN FELIPE,1554
